ds,y
2017-07-19,15.600000000000003
2017-07-20,18.699999999999992
2017-07-21,7.599999999999997
2017-07-22,4.200000000000002
2017-07-23,4.099999999999999
2017-07-24,4.200000000000002
2017-07-25,4.200000000000002
2017-07-26,4.099999999999999
2017-07-27,13.800000000000006
2017-07-28,14.199999999999994
2017-07-29,24.3
2017-07-30,22.199999999999992
2017-07-31,22.89999999999999
2017-08-01,16.300000000000008
2017-08-02,10.599999999999996
2017-08-03,10.199999999999996
2017-08-04,5.700000000000002
2017-08-05,8.599999999999996
2017-08-06,10.599999999999996
2017-08-07,21.800000000000008
2017-08-08,14.100000000000001
2017-08-09,10.099999999999996
2017-08-10,13.699999999999994
2017-08-11,10.5
2017-08-12,19.699999999999992
2017-08-13,19.10000000000001
2017-08-14,21.89999999999999
